ITT,DATE_TIME,TRACKLINE,TRIP_DIRECTION,DEST_STATION,DESCRIPTION,TRKID
260,7/27/2024 12:16:57 PM,Orange,2,VIENNA,Federal Triangle- Track 2; ,D01-D2-16
254,7/27/2024 12:16:57 PM,Yellow,1,MT VERNON SQ,Archives-Navy Memorial-Penn Quarter- Track 1;  motion;,F02-F1-20
264,7/27/2024 12:16:57 PM,Silver,1,LARGO TOWN CENTER,Addison Road-Seat Pleasant- Track 1; ,G03-G1-469
270,7/27/2024 12:16:57 PM,Blue,2,FRANCONIA-SPRINGFIELD,,D04-3BTN
232,7/27/2024 12:16:57 PM,Red,2,SHADY GROVE,,A10-A2-487
321,7/27/2024 12:16:58 PM,Green,2,BRANCH AVE,Navy Yard-Ballpark- Track 2; ,F05-F2-121
260,7/27/2024 12:17:02 PM,Orange,2,VIENNA,Federal Triangle- Track 2; ,D01-D2-16
254,7/27/2024 12:17:02 PM,Yellow,1,MT VERNON SQ,Archives-Navy Memorial-Penn Quarter- Track 1;  motion;,F02-F1-20
264,7/27/2024 12:17:02 PM,Silver,1,LARGO TOWN CENTER,Addison Road-Seat Pleasant- Track 1;  Doors open left,G03-G1-469
270,7/27/2024 12:17:02 PM,Blue,2,FRANCONIA-SPRINGFIELD,Federal Center SW- Track 2; ,D04-D2-82
232,7/27/2024 12:17:02 PM,Red,2,SHADY GROVE,,A10-A2-487
321,7/27/2024 12:17:03 PM,Green,2,BRANCH AVE,Navy Yard-Ballpark- Track 2; ,F05-F2-127
260,7/27/2024 12:17:07 PM,Orange,2,VIENNA,Federal Triangle- Track 2; ,D01-D2-16
254,7/27/2024 12:17:07 PM,Yellow,1,MT VERNON SQ,Archives-Navy Memorial-Penn Quarter- Track 1;  motion;,F02-F1-20
264,7/27/2024 12:17:07 PM,Silver,1,LARGO TOWN CENTER,Addison Road-Seat Pleasant- Track 1;  Doors open left,G03-G1-469
270,7/27/2024 12:17:07 PM,Blue,2,FRANCONIA-SPRINGFIELD,Federal Center SW- Track 2;  motion;,D04-D2-82
